suburb,state,postcode,seed_priority,market_tier,confidence,why_included,research_basis,source_url,in_original_file
Box Hill,VIC,3128,P2,metro_commercial_cluster,medium,"Known metro business, advisory or office cluster","Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Dandenong,VIC,3175,P2,metro_commercial_cluster,medium,"Known metro business, advisory or office cluster","Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Glen Waverley,VIC,3150,P2,metro_commercial_cluster,medium,"Known metro business, advisory or office cluster","Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Mount Waverley,VIC,3149,P2,metro_commercial_cluster,medium,"Known metro business, advisory or office cluster","Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Ringwood,VIC,3134,P2,metro_commercial_cluster,medium,"Known metro business, advisory or office cluster","Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Ballarat,VIC,3350,P3,regional_or_secondary_business_hub,medium,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Balwyn,VIC,3103,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Bendigo,VIC,3550,P3,regional_or_secondary_business_hub,medium,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Bentleigh,VIC,3204,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Brighton,VIC,3186,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Camberwell,VIC,3124,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Caulfield,VIC,3162,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Cheltenham,VIC,3192,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Clayton,VIC,3168,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Docklands,VIC,3008,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Doncaster,VIC,3108,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Essendon,VIC,3040,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Footscray,VIC,3011,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Geelong,VIC,3220,P3,regional_or_secondary_business_hub,medium,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Hawthorn,VIC,3122,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Heidelberg,VIC,3084,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Ivanhoe,VIC,3079,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Kew,VIC,3101,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Mildura,VIC,3500,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Moorabbin,VIC,3189,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Nunawading,VIC,3131,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Port Melbourne,VIC,3207,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Preston,VIC,3072,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Richmond,VIC,3121,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Shepparton,VIC,3630,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
South Melbourne,VIC,3205,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
St Kilda,VIC,3182,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Sunshine,VIC,3020,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Traralgon,VIC,3844,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Warrnambool,VIC,3280,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Werribee,VIC,3030,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Brisbane,QLD,4000,P1,original_seed_row,medium,Preserved from original file,Original user-provided seed row preserved. Consider normalising Brisbane to Brisbane City and Canberra to Canberra 2601 for office-hub targeting.,original_user_file,TRUE
Brisbane City,QLD,4000,P1,capital_cbd_or_professional_office_hub,high,Capital-city CBD or professional-body office hub,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Chermside,QLD,4032,P2,metro_commercial_cluster,medium,"Known metro business, advisory or office cluster","Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Fortitude Valley,QLD,4006,P2,metro_commercial_cluster,medium,"Known metro business, advisory or office cluster","Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Maroochydore,QLD,4558,P2,metro_commercial_cluster,medium,"Known metro business, advisory or office cluster","Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Milton,QLD,4064,P2,metro_commercial_cluster,medium,"Known metro business, advisory or office cluster","Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Robina,QLD,4226,P2,metro_commercial_cluster,medium,"Known metro business, advisory or office cluster","Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Southport,QLD,4215,P2,metro_commercial_cluster,medium,"Known metro business, advisory or office cluster","Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Toowong,QLD,4066,P2,metro_commercial_cluster,medium,"Known metro business, advisory or office cluster","Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Upper Mount Gravatt,QLD,4122,P2,metro_commercial_cluster,medium,"Known metro business, advisory or office cluster","Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Broadbeach,QLD,4218,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
